Year,GDP ,Changes_in_inflation,Imports,GDP_Per_Capita,Official_Exchange_Rate ,Exports_Goods ,Foreign_Direct_Investment,Tourist_Arrivals
1960,1410000000,0,460000000,143,6,420000000,0,17726
1961,1440000000,0,410000000,143,6,400000000,0,17726
1962,1430000000,0,420000000,139,6,400000000,0,17726
1963,1240000000,0,340000000,117,6,320000000,0,17726
1964,1310000000,0,350000000,121,6,320000000,0,17726
1965,1700000000,0,430000000,153,6,440000000,0,17726
1966,1750000000,0,450000000,154,6,390000000,0,18969
1967,1860000000,0,430000000,160,6,380000000,0,23666
1968,1800000000,0,420000000,151,6,370000000,0,28272
1969,1970000000,0,480000000,161,6,360000000,0,40204
1970,2300000000,0,660000000,184,6,580000000,0,46247
1971,2370000000,0,630000000,186,6,580000000,0,39654
1972,2550000000,0,610000000,196,6,570000000,0,56047
1973,2880000000,0,740000000,217,6,700000000,0,77888
1974,3570000000,0,1210000000,265,7,940000000,0,85011
1975,3790000000,0,1330000000,276,7,1040000000,0,103204
1976,3590000000,0,1130000000,256,8,1040000000,0,118971
1977,4100000000,0,1240000000,288,9,1390000000,0,153665
1978,2730000000,0,1080000000,188,16,950000000,0,192592
1979,3360000000,0,1540000000,228,16,1130000000,50000000,250164
1980,4020000000,0,2210000000,268,16,1300000000,40000000,321780
1981,4420000000,0,2050000000,289,19,1350000000,50000000,370742
1982,4770000000,0,2210000000,308,21,1300000000,60000000,407230
1983,5170000000,0,2140000000,329,24,1360000000,40000000,337530
1984,6040000000,0,2100000000,379,25,1740000000,30000000,317734
1985,5980000000,0,2270000000,370,27,1560000000,30000000,257456
1986,6410000000,0,2260000000,390,28,1520000000,30000000,230106
1987,6680000000,0,2390000000,401,29,1680000000,60000000,182620
1988,6980000000,0,2570000000,413,32,1820000000,50000000,182662
1989,6990000000,0,2570000000,408,36,1900000000,20000000,184732
1990,8030000000,0,3060000000,464,40,2420000000,40000000,297888
1991,9000000000,0,3500000000,513,41,2590000000,50000000,317703
1992,9700000000,0,3980000000,547,44,3080000000,120000000,393669
1993,10340000000,0,4480000000,577,48,3490000000,190000000,392250
1994,11720000000,0,5350000000,648,49,3960000000,170000000,407511
1995,13030000000,0,6000000000,714,51,4640000000,60000000,403101
1996,13900000000,0,6100000000,757,55,4860000000,120000000,302265
1997,15090000000,0,6580000000,817,59,5510000000,430000000,366165
1998,15790000000,0,6670000000,851,65,5720000000,190000000,381063
1999,15660000000,0,6770000000,839,71,5560000000,180000000,436440
2000,16330000000,0,8100000000,870,77,6370000000,170000000,400414
2001,15750000000,0,6860000000,833,90,5880000000,170000000,336794
2002,16540000000,0,6850000000,867,96,5770000000,200000000,393171
2003,18880000000,0,7680000000,982,97,6540000000,230000000,500642
2004,20660000000,0,9120000000,1066,101,7300000000,230000000,566202
2005,24410000000,0,10070000000,1249,100,7890000000,270000000,549308
2006,28280000000,0,11630000000,1436,104,8520000000,480000000,559603
2007,32350000000,0,12780000000,1630,111,9420000000,600000000,494008
2008,40710000000,0,15690000000,2037,108,10110000000,750000000,438475
2009,42070000000,0,11700000000,2090,115,8970000000,400000000,447890
2010,58640000000,0,10410098688,2800,113,8290000000,480000000,654476
2011,67750000000,0,15473905068,3201,110,10010000000,960000000,855975
2012,70450000000,0,14145605909,3351,127,9370000000,940000000,1005606
2013,77000000000,0,13694598703,3610,129,10010000000,930000000,1274593
2014,82530000000,0,14819449035,3819,131,11300000000,890000000,1527153
2015,85140000000,0,23010000000,3844,136,16940000000,680000000,1798380
2016,88010000000,0,23450000000,3886,146,17450000000,900000000,2050832
2017,94380000000,0,25400000000,4077,152,19090000000,1370000000,2116407
2018,94490000000,0,26800000000,4059,163,20270000000,1610000000,2333796
2019,89010000000,0,24570000000,3848,178,19430000000,740000000,1913702
2020,84440000000,0,18240000000,3694,186,13030000000,430000000,507704
2021,88610000000,0,21540000000,3815,200,14990000000,590000000,194495
2022,74140000000,0,18630000000,3343,325,15980000000,880000000,719978
2023,84360000000,0,18460000000,3828,328,17200000000,710000000,1487303
